WORD       | FINAL    | ENTROPY  | PROB MASS
moist      | 5.7337   | 5.0196   | 0.7141
adult      | 5.7332   | 4.8819   | 0.8513
whale      | 5.7326   | 4.9756   | 0.7570
medal      | 5.7324   | 4.9648   | 0.7676
organ      | 5.7321   | 4.9585   | 0.7736
grand      | 5.7312   | 4.8955   | 0.8357
worst      | 5.7291   | 4.9325   | 0.7966
recut      | 5.7273   | 5.1447   | 0.5826
shake      | 5.7262   | 4.9635   | 0.7627
apron      | 5.7259   | 5.0244   | 0.7015
tense      | 5.7239   | 5.0063   | 0.7176
frost      | 5.7236   | 4.9665   | 0.7571
smelt      | 5.7222   | 5.1023   | 0.6199
truly      | 5.7212   | 4.9161   | 0.8051
cargo      | 5.7206   | 4.9443   | 0.7763
torus      | 5.7201   | 5.0736   | 0.6465
pecan      | 5.7199   | 5.0355   | 0.6844
glean      | 5.7197   | 5.1130   | 0.6067
claim      | 5.7196   | 4.8945   | 0.8251
voter      | 5.7193   | 4.9699   | 0.7494
draft      | 5.7193   | 4.8984   | 0.8209
cigar      | 5.7190   | 4.9781   | 0.7409
bloat      | 5.7182   | 5.0958   | 0.6224
choir      | 5.7176   | 4.9662   | 0.7514
goner      | 5.7176   | 5.1668   | 0.5508
steer      | 5.7169   | 5.0024   | 0.7145
reuse      | 5.7167   | 4.9762   | 0.7405
minor      | 5.7163   | 4.9007   | 0.8156
frail      | 5.7158   | 5.0540   | 0.6618
chain      | 5.7151   | 4.8934   | 0.8217
along      | 5.7124   | 4.8655   | 0.8469
splat      | 5.7109   | 5.0831   | 0.6278
brand      | 5.7091   | 4.8624   | 0.8467
clash      | 5.7085   | 4.9728   | 0.7357
gloat      | 5.7084   | 5.1394   | 0.5690
pried      | 5.7079   | 5.1558   | 0.5521
amuse      | 5.7072   | 5.0565   | 0.6507
reply      | 5.7058   | 4.8378   | 0.8680
orbit      | 5.7045   | 4.9513   | 0.7532
chant      | 5.7031   | 5.0091   | 0.6940
easel      | 5.7006   | 5.0326   | 0.6680
usage      | 5.6990   | 4.8886   | 0.8104
twice      | 5.6979   | 4.8957   | 0.8022
wrist      | 5.6974   | 4.9389   | 0.7585
plead      | 5.6972   | 5.0124   | 0.6848
broad      | 5.6970   | 4.8925   | 0.8045
arena      | 5.6968   | 4.9072   | 0.7896
agree      | 5.6963   | 4.8659   | 0.8304
stave      | 5.6959   | 5.0664   | 0.6295
image      | 5.6958   | 4.8261   | 0.8697
storm      | 5.6954   | 4.8895   | 0.8059
gripe      | 5.6953   | 5.0455   | 0.6498
bathe      | 5.6944   | 5.0494   | 0.6450
filer      | 5.6943   | 5.0321   | 0.6622
untie      | 5.6941   | 5.1116   | 0.5825
latte      | 5.6938   | 5.0263   | 0.6675
wrest      | 5.6937   | 5.0989   | 0.5948
grave      | 5.6936   | 4.9304   | 0.7632
faint      | 5.6912   | 4.9692   | 0.7220
uncle      | 5.6909   | 4.9215   | 0.7694
third      | 5.6901   | 4.8394   | 0.8507
audit      | 5.6899   | 4.8863   | 0.8036
adorn      | 5.6877   | 5.0458   | 0.6419
credo      | 5.6860   | 5.0461   | 0.6399
flame      | 5.6860   | 4.9147   | 0.7713
naive      | 5.6856   | 4.9781   | 0.7075
guise      | 5.6856   | 5.0191   | 0.6665
sloth      | 5.6850   | 5.0376   | 0.6474
ample      | 5.6847   | 4.9533   | 0.7314
idler      | 5.6845   | 5.0557   | 0.6288
rapid      | 5.6843   | 4.8837   | 0.8006
start      | 5.6843   | 4.8196   | 0.8647
lodge      | 5.6839   | 4.8791   | 0.8048
swine      | 5.6823   | 4.9819   | 0.7004
trite      | 5.6816   | 5.0640   | 0.6176
elate      | 5.6813   | 5.2177   | 0.4636
steak      | 5.6811   | 4.9360   | 0.7451
rivet      | 5.6810   | 5.0251   | 0.6559
torch      | 5.6808   | 4.9472   | 0.7336
drive      | 5.6803   | 4.8263   | 0.8540
lemon      | 5.6789   | 4.9053   | 0.7736
olden      | 5.6781   | 5.0553   | 0.6228
trawl      | 5.6773   | 5.0267   | 0.6506
weary      | 5.6770   | 4.9751   | 0.7019
trait      | 5.6761   | 4.9722   | 0.7039
mayor      | 5.6758   | 4.8836   | 0.7922
stark      | 5.6753   | 4.9402   | 0.7351
depot      | 5.6750   | 4.8989   | 0.7761
finer      | 5.6747   | 4.9780   | 0.6967
coupe      | 5.6746   | 4.9255   | 0.7491
peace      | 5.6741   | 4.8435   | 0.8306
round      | 5.6739   | 4.8356   | 0.8383
marsh      | 5.6739   | 4.9231   | 0.7508
spray      | 5.6733   | 4.8808   | 0.7925
